Timestamp,Location of hawker centre,City,Price of Chicken Rice,Price of Economic Rice (2 Veg 1 Meat,Price of Mee Rebus,Price of Kopi-O,Price of Iced Milo
11/21/2018 9:46:09,Bedok Interchange Hawker Centre,Singapore,3,3.1,2.5,0.9,1.7
11/21/2018 10:10:21,Blk 206 Bedok North kopitiam,Singapore,,3.3,,1,1.5
11/21/2018 10:18:15,Blk 211 Bedok North Food House,Singapore,3.3,3.3,,1,1.6
11/21/2018 10:31:51,Blk 216 Bedok North Food Centre,Singapore,2.5,3,3,0.8,1.4
11/21/2018 10:45:06,Blk 217 Bedok North Food Loft,Singapore,3.5,2.9,,1,1.6
11/21/2018 11:06:45,Blk 136 Bedok North Coffee shop,Singapore,,3,,1.1,1.6
11/21/2018 11:17:31,Blk 123 Bedok North Coffee Corner,Singapore,2,2.5,,1,1.6
11/21/2018 11:21:08,Blk 122 Bedok North Chang Long Coffee Shop,Singapore,3,,2.5,1.1,1.6
11/23/2018 12:48:07,Blk 58 New Upper Changi,Singapore,3,2.5,,1,1.6
11/23/2018 12:52:13,Blk 56 New Upper Changi,Singapore,3.5,3,,1,1.6
11/23/2018 13:32:01,Blk 16 Bedok South Food Centre,Singapore,3,3,,0.7,1.2
11/23/2018 13:54:02,Blk 85 Bedok North,Singapore,2.5,3,,0.9,1.8
